age,sex,race,degree,health,happy,marital,martype,agewed,hrs2,indus10,agekdbrn,childs,class,income16
34.0,female,black,bachelor's,good,,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,
49.0,male,black,high school,good,pretty happy,never married,,,45.0,"Management, Business, Science, and Arts Occupations",,0.0,middle class,
25.0,male,white,bachelor's,excellent,very happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
39.0,male,other,graduate,good,,married,,38.0,,"Production, Transportation, and Material Moving Occupations",,0.0,,
43.0,female,black,associate/junior college,poor,pretty happy,divorced,,,,Sales and Office Occupations,20.0,3.0,lower class,
65.0,male,white,high school,,very happy,married,,,,Sales and Office Occupations,25.0,3.0,middle class,
,female,black,high school,,very happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",18.0,1.0,working class,
63.0,male,black,less than high school,good,very happy,married,,,,Service Occupations,18.0,5.0,working class,
52.0,male,white,high school,,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",18.0,2.0,working class,
27.0,female,black,associate/junior college,,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",19.0,3.0,working class,
35.0,female,white,associate/junior college,,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",16.0,2.0,working class,
36.0,female,black,high school,,pretty happy,not married,,,,"Production, Transportation, and Material Moving Occupations",26.0,3.0,working class,
42.0,female,white,associate/junior college,,very happy,married,,,,Service Occupations,16.0,2.0,working class,
19.0,male,white,less than high school,good,,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,,
82.0,female,white,high school,good,,widowed,,20.0,,"Management, Business, Science, and Arts Occupations",,4.0,,
45.0,male,white,high school,fair,,not married,,19.0,,,,1.0,,
32.0,male,other,less than high school,,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",21.0,2.0,working class,
,female,white,associate/junior college,fair,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",18.0,5.0,working class,
29.0,female,other,less than high school,,pretty happy,married,,,,,18.0,2.0,working class,
47.0,male,other,less than high school,good,,never married,,,,Service Occupations,,0.0,,
89.0,female,white,high school,poor,,widowed,,25.0,,"Management, Business, Science, and Arts Occupations",,3.0,,
37.0,female,black,high school,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",25.0,3.0,working class,
39.0,female,white,high school,,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",19.0,3.0,working class,
22.0,female,other,high school,,not too happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
72.0,female,white,high school,,pretty happy,married,,,,,18.0,2.0,working class,
43.0,female,other,less than high school,good,,married,,22.0,,"Management, Business, Science, and Arts Occupations",,3.0,,
38.0,male,white,less than high school,fair,,never married,,,,"Management, Business, Science, and Arts Occupations",,,,
41.0,female,other,less than high school,,pretty happy,not married,,,,Sales and Office Occupations,21.0,4.0,working class,
26.0,male,black,high school,excellent,,never married,,,,"Management, Business, Science, and Arts Occupations",,1.0,,
47.0,female,black,high school,poor,,married,,22.0,,Sales and Office Occupations,,2.0,,
28.0,female,other,less than high school,excellent,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",19.0,3.0,working class,
32.0,female,white,high school,excellent,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",19.0,4.0,working class,
59.0,male,white,high school,good,not too happy,married,,,,"Production, Transportation, and Material Moving Occupations",25.0,1.0,lower class,
43.0,female,white,associate/junior college,excellent,very happy,not married,,,,"Production, Transportation, and Material Moving Occupations",20.0,2.0,working class,
65.0,male,white,less than high school,,not too happy,never married,,,,,,0.0,lower class,
50.0,female,white,high school,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",16.0,1.0,middle class,
52.0,male,white,high school,poor,,married,,25.0,,"Management, Business, Science, and Arts Occupations",,1.0,,
27.0,male,white,high school,,very happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
69.0,male,white,less than high school,fair,,divorced,,22.0,,"Management, Business, Science, and Arts Occupations",,3.0,,
47.0,female,white,associate/junior college,,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",31.0,2.0,middle class,
50.0,female,white,high school,fair,pretty happy,widowed,,,,,20.0,3.0,middle class,
40.0,female,white,high school,good,,married,,25.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
82.0,female,white,less than high school,,pretty happy,widowed,,,,"Management, Business, Science, and Arts Occupations",17.0,8.0,middle class,
36.0,male,white,high school,fair,pretty happy,married,,,,Service Occupations,25.0,2.0,middle class,
37.0,female,white,high school,poor,,married,,28.0,,"Production, Transportation, and Material Moving Occupations",,1.0,,
41.0,female,white,high school,good,,married,,17.0,,"Management, Business, Science, and Arts Occupations",,1.0,,
78.0,female,white,high school,good,pretty happy,widowed,,,,"Management, Business, Science, and Arts Occupations",20.0,3.0,middle class,
61.0,female,white,less than high school,good,,divorced,,16.0,,"Production, Transportation, and Material Moving Occupations",,4.0,,
22.0,female,black,high school,excellent,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,upper class,
36.0,female,white,bachelor's,good,,married,,18.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
40.0,female,white,bachelor's,excellent,very happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",30.0,1.0,working class,
64.0,female,white,less than high school,good,,widowed,,17.0,,"Management, Business, Science, and Arts Occupations",,1.0,,
22.0,female,black,high school,,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",20.0,1.0,working class,
49.0,female,black,graduate,good,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",24.0,3.0,working class,
79.0,female,white,high school,good,,widowed,,18.0,,"Natural Resources, Construction, and Maintenance Occupations",,3.0,,
59.0,male,white,less than high school,,not too happy,not married,,,,Service Occupations,21.0,1.0,lower class,
77.0,female,white,less than high school,fair,,widowed,,16.0,,"Management, Business, Science, and Arts Occupations",,4.0,,
77.0,female,white,less than high school,excellent,,widowed,,16.0,,"Production, Transportation, and Material Moving Occupations",,6.0,,
28.0,male,other,less than high school,good,not too happy,never married,,,,"Production, Transportation, and Material Moving Occupations",17.0,3.0,working class,
48.0,male,white,high school,fair,,married,,18.0,40.0,"Management, Business, Science, and Arts Occupations",,4.0,,
58.0,female,black,high school,fair,pretty happy,divorced,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
63.0,male,white,high school,excellent,,married,,21.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
32.0,female,white,high school,excellent,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,2.0,lower class,
54.0,female,black,high school,good,very happy,married,,,,"Management, Business, Science, and Arts Occupations",18.0,2.0,working class,
74.0,female,black,high school,fair,pretty happy,widowed,,,,"Management, Business, Science, and Arts Occupations",25.0,2.0,working class,
77.0,female,white,less than high school,,pretty happy,widowed,,,,"Management, Business, Science, and Arts Occupations",24.0,2.0,middle class,
50.0,male,black,high school,fair,,divorced,,30.0,,"Management, Business, Science, and Arts Occupations",,1.0,,
76.0,male,black,less than high school,,not too happy,widowed,,,,"Management, Business, Science, and Arts Occupations",25.0,3.0,lower class,
47.0,female,black,high school,good,,married,,24.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
79.0,female,white,less than high school,poor,,widowed,,17.0,,"Management, Business, Science, and Arts Occupations",,1.0,,
66.0,female,black,less than high school,fair,,widowed,,56.0,,"Production, Transportation, and Material Moving Occupations",,4.0,,
71.0,male,black,less than high school,fair,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",22.0,6.0,working class,
31.0,female,black,high school,fair,,married,,26.0,,"Production, Transportation, and Material Moving Occupations",,4.0,,
66.0,male,black,associate/junior college,poor,,married,,23.0,,"Management, Business, Science, and Arts Occupations",,6.0,,
33.0,male,black,high school,good,,not married,,30.0,,Service Occupations,,0.0,,
45.0,female,black,high school,fair,,divorced,,21.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
51.0,female,black,less than high school,,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",31.0,2.0,lower class,
38.0,male,black,associate/junior college,fair,very happy,married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
56.0,male,black,high school,fair,,divorced,,22.0,,"Production, Transportation, and Material Moving Occupations",,1.0,,
29.0,male,white,high school,excellent,very happy,never married,,,,"Production, Transportation, and Material Moving Occupations",16.0,1.0,working class,
54.0,male,white,high school,fair,,widowed,,23.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
26.0,female,other,high school,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",17.0,3.0,working class,
42.0,male,white,high school,good,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
52.0,male,white,less than high school,fair,,married,,25.0,,"Management, Business, Science, and Arts Occupations",,0.0,,
22.0,female,white,high school,good,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
37.0,male,white,high school,poor,,married,,23.0,,"Natural Resources, Construction, and Maintenance Occupations",,4.0,,
52.0,female,white,associate/junior college,fair,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",25.0,2.0,working class,
67.0,female,white,high school,fair,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",18.0,1.0,working class,
23.0,female,white,associate/junior college,,pretty happy,never married,,,,Sales and Office Occupations,,0.0,working class,
67.0,female,white,bachelor's,fair,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,
56.0,male,white,high school,,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",19.0,6.0,middle class,
29.0,female,white,high school,excellent,pretty happy,married,,,,Sales and Office Occupations,21.0,2.0,working class,
67.0,female,white,high school,fair,,widowed,,20.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
43.0,male,white,high school,,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",17.0,5.0,working class,
42.0,female,white,high school,good,,divorced,,22.0,,Service Occupations,,2.0,,
65.0,female,white,less than high school,good,not too happy,divorced,,,,Sales and Office Occupations,23.0,1.0,working class,
20.0,male,other,high school,excellent,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
24.0,male,other,less than high school,,very happy,married,,,,"Management, Business, Science, and Arts Occupations",22.0,1.0,middle class,
50.0,female,white,graduate,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
51.0,female,white,associate/junior college,fair,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,3.0,middle class,
72.0,female,white,less than high school,good,,married,,17.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
52.0,female,white,high school,excellent,,married,,19.0,,"Management, Business, Science, and Arts Occupations",,2.0,,
73.0,female,white,high school,good,pretty happy,married,,,,Service Occupations,21.0,2.0,working class,
54.0,female,white,bachelor's,,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",21.0,2.0,working class,
23.0,female,white,associate/junior college,excellent,pretty happy,never married,,,,Sales and Office Occupations,,0.0,working class,
40.0,female,white,high school,,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",21.0,3.0,working class,
43.0,female,white,graduate,good,very happy,married,,,50.0,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
29.0,female,white,bachelor's,,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",23.0,1.0,middle class,
37.0,male,white,high school,fair,,divorced,,27.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
32.0,male,other,bachelor's,good,very happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
20.0,male,white,high school,good,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
84.0,female,other,less than high school,,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",19.0,8.0,working class,
31.0,female,white,high school,,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",26.0,2.0,working class,
40.0,male,white,high school,good,not too happy,divorced,,,,"Management, Business, Science, and Arts Occupations",25.0,2.0,working class,
50.0,male,white,high school,,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",25.0,1.0,working class,
35.0,female,white,associate/junior college,good,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",20.0,2.0,working class,
59.0,female,white,high school,good,pretty happy,widowed,,,,Service Occupations,25.0,5.0,working class,
21.0,female,white,high school,good,,never married,,,,Sales and Office Occupations,,0.0,,
67.0,male,white,less than high school,good,pretty happy,divorced,,,,Service Occupations,22.0,2.0,working class,
35.0,male,white,high school,excellent,very happy,married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
33.0,male,black,less than high school,fair,,never married,,,,"Production, Transportation, and Material Moving Occupations",,5.0,,
69.0,male,white,high school,fair,very happy,married,,,,"Management, Business, Science, and Arts Occupations",21.0,3.0,middle class,
36.0,female,white,high school,good,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",35.0,1.0,working class,
46.0,male,white,high school,good,pretty happy,divorced,,,,Service Occupations,21.0,4.0,middle class,
35.0,female,white,less than high school,poor,,not married,,20.0,,Sales and Office Occupations,,4.0,,
19.0,male,white,high school,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
41.0,female,white,bachelor's,good,very happy,divorced,,,,"Natural Resources, Construction, and Maintenance Occupations",24.0,3.0,middle class,
47.0,male,white,high school,good,,divorced,,18.0,,"Management, Business, Science, and Arts Occupations",,2.0,,
64.0,male,white,less than high school,,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",19.0,5.0,working class,
69.0,female,white,less than high school,fair,,married,,20.0,,"Management, Business, Science, and Arts Occupations",,2.0,,
36.0,female,black,high school,good,,married,,21.0,,"Production, Transportation, and Material Moving Occupations",,4.0,,
68.0,male,white,less than high school,poor,,married,,22.0,,"Management, Business, Science, and Arts Occupations",,2.0,,
64.0,female,white,less than high school,,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",16.0,7.0,lower class,
31.0,male,white,bachelor's,good,very happy,divorced,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,
43.0,female,white,high school,good,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,1.0,working class,
25.0,male,white,high school,,very happy,married,,,,Service Occupations,,0.0,working class,
63.0,female,white,high school,good,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",19.0,4.0,middle class,
27.0,male,white,less than high school,good,,married,,18.0,,"Natural Resources, Construction, and Maintenance Occupations",,1.0,,
34.0,male,white,high school,,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",,0.0,lower class,
55.0,male,white,associate/junior college,good,pretty happy,married,,,,Service Occupations,31.0,2.0,lower class,
30.0,female,white,high school,good,pretty happy,divorced,,,40.0,Sales and Office Occupations,23.0,1.0,middle class,
54.0,female,white,high school,excellent,,married,,19.0,,Service Occupations,,3.0,,
21.0,male,white,high school,excellent,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,
48.0,female,other,less than high school,fair,,married,,18.0,,Sales and Office Occupations,,5.0,,
45.0,male,white,high school,excellent,pretty happy,divorced,,,,Service Occupations,,0.0,working class,
33.0,female,white,high school,good,very happy,married,,,,Service Occupations,21.0,4.0,working class,
63.0,female,white,high school,good,,married,,23.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
63.0,male,white,high school,fair,pretty happy,divorced,,,,"Management, Business, Science, and Arts Occupations",23.0,2.0,working class,
53.0,male,white,bachelor's,good,pretty happy,married,,,,Service Occupations,24.0,2.0,middle class,
59.0,male,white,high school,good,,married,,24.0,,"Management, Business, Science, and Arts Occupations",,3.0,,
84.0,male,white,less than high school,good,,widowed,,31.0,,"Natural Resources, Construction, and Maintenance Occupations",,3.0,,
75.0,male,white,less than high school,good,,married,,26.0,,"Management, Business, Science, and Arts Occupations",,5.0,,
22.0,female,white,less than high school,fair,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
63.0,male,white,high school,fair,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
54.0,male,white,graduate,,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",26.0,2.0,middle class,
32.0,male,white,high school,good,,married,,27.0,,"Production, Transportation, and Material Moving Occupations",,1.0,,
59.0,female,white,bachelor's,excellent,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
59.0,female,white,high school,good,pretty happy,married,,,,Sales and Office Occupations,,0.0,lower class,
48.0,male,white,high school,good,,married,,20.0,,"Management, Business, Science, and Arts Occupations",,2.0,,
38.0,female,white,high school,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",22.0,1.0,middle class,
63.0,female,white,less than high school,good,,married,,17.0,70.0,"Natural Resources, Construction, and Maintenance Occupations",,5.0,,
64.0,male,white,less than high school,fair,very happy,married,,,,"Management, Business, Science, and Arts Occupations",22.0,2.0,working class,
40.0,male,white,less than high school,good,,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,,
38.0,female,white,high school,excellent,pretty happy,divorced,,,,Sales and Office Occupations,,0.0,working class,
53.0,female,white,high school,good,,married,,18.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
47.0,female,white,high school,,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",17.0,3.0,working class,
22.0,female,white,less than high school,good,,divorced,,17.0,,"Management, Business, Science, and Arts Occupations",,1.0,,
37.0,female,white,high school,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",19.0,2.0,middle class,
51.0,male,white,associate/junior college,excellent,,divorced,,26.0,,Service Occupations,,3.0,,
39.0,female,white,high school,,pretty happy,not married,,,,"Natural Resources, Construction, and Maintenance Occupations",23.0,1.0,middle class,
38.0,male,white,high school,poor,not too happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",23.0,2.0,lower class,
72.0,female,white,less than high school,good,,married,,16.0,,Service Occupations,,2.0,,
51.0,male,white,high school,excellent,,divorced,,25.0,,"Management, Business, Science, and Arts Occupations",,2.0,,
49.0,male,black,high school,good,,never married,,,,"Management, Business, Science, and Arts Occupations",,5.0,,
55.0,female,white,less than high school,good,,married,,17.0,,"Production, Transportation, and Material Moving Occupations",,4.0,,
73.0,male,white,less than high school,,not too happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",22.0,1.0,middle class,
59.0,female,white,bachelor's,good,,married,,25.0,,"Production, Transportation, and Material Moving Occupations",,0.0,,
66.0,female,white,high school,fair,,divorced,,20.0,,Service Occupations,,3.0,,
39.0,male,white,bachelor's,excellent,very happy,married,,,,Sales and Office Occupations,23.0,4.0,working class,
46.0,male,white,high school,good,very happy,never married,,,,"Management, Business, Science, and Arts Occupations",26.0,1.0,working class,
31.0,male,white,bachelor's,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,
42.0,male,white,less than high school,poor,,married,,36.0,,Service Occupations,,1.0,,
43.0,female,other,less than high school,,not too happy,married,,,,"Production, Transportation, and Material Moving Occupations",25.0,1.0,working class,
64.0,male,other,less than high school,fair,,divorced,,,,"Management, Business, Science, and Arts Occupations",15.0,2.0,lower class,
49.0,female,other,less than high school,,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",32.0,2.0,,
51.0,female,other,less than high school,,pretty happy,not married,,,,"Production, Transportation, and Material Moving Occupations",19.0,2.0,working class,
23.0,female,white,associate/junior college,good,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",19.0,1.0,working class,
36.0,male,black,bachelor's,,not too happy,married,,,,"Production, Transportation, and Material Moving Occupations",19.0,1.0,lower class,
46.0,male,white,high school,,pretty happy,divorced,,,,"Management, Business, Science, and Arts Occupations",29.0,1.0,middle class,
45.0,male,other,less than high school,fair,,divorced,,24.0,,"Management, Business, Science, and Arts Occupations",,4.0,,
44.0,female,other,less than high school,fair,not too happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",19.0,2.0,working class,
62.0,male,other,high school,fair,,not married,,21.0,,"Management, Business, Science, and Arts Occupations",,3.0,,
47.0,female,other,less than high school,,,widowed,,13.0,,"Production, Transportation, and Material Moving Occupations",,8.0,,
43.0,female,other,high school,fair,,never married,,,,Service Occupations,,0.0,,
63.0,male,black,less than high school,,pretty happy,divorced,,,,"Management, Business, Science, and Arts Occupations",16.0,8.0,working class,
76.0,male,white,high school,fair,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",22.0,5.0,working class,
59.0,male,white,high school,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",32.0,3.0,working class,
67.0,male,white,high school,excellent,pretty happy,divorced,,,,"Management, Business, Science, and Arts Occupations",29.0,1.0,working class,
39.0,female,other,bachelor's,excellent,,married,,24.0,45.0,"Production, Transportation, and Material Moving Occupations",,2.0,,
56.0,female,black,less than high school,,not too happy,widowed,,,,"Natural Resources, Construction, and Maintenance Occupations",14.0,3.0,working class,
46.0,male,white,graduate,excellent,,married,,24.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
53.0,male,black,high school,poor,,divorced,,19.0,,Sales and Office Occupations,,4.0,,
56.0,male,black,high school,fair,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
39.0,male,black,graduate,good,,married,,30.0,,"Production, Transportation, and Material Moving Occupations",,1.0,,
55.0,male,other,less than high school,,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",24.0,2.0,working class,
18.0,male,other,high school,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
46.0,male,white,bachelor's,excellent,,married,,23.0,,"Management, Business, Science, and Arts Occupations",,2.0,,
53.0,female,white,,fair,,not married,,16.0,,Sales and Office Occupations,,4.0,,
46.0,male,white,less than high school,,not too happy,not married,,,,"Management, Business, Science, and Arts Occupations",18.0,5.0,middle class,
68.0,female,white,high school,good,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",22.0,3.0,working class,
36.0,female,white,high school,good,,widowed,,19.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
68.0,female,white,high school,excellent,not too happy,married,,,,Service Occupations,18.0,3.0,working class,
36.0,male,white,high school,good,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",34.0,1.0,working class,
56.0,male,white,high school,excellent,,married,,20.0,,"Management, Business, Science, and Arts Occupations",,2.0,,
31.0,female,white,high school,excellent,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",21.0,2.0,middle class,
23.0,male,white,high school,fair,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
69.0,male,other,less than high school,fair,pretty happy,widowed,,,,"Natural Resources, Construction, and Maintenance Occupations",21.0,5.0,working class,
47.0,male,white,high school,good,,married,,21.0,,"Management, Business, Science, and Arts Occupations",,0.0,,
53.0,female,white,high school,good,,married,,19.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,
58.0,female,white,high school,fair,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",18.0,2.0,working class,
48.0,male,white,high school,good,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",30.0,3.0,working class,
60.0,male,other,less than high school,fair,very happy,married,,,,"Management, Business, Science, and Arts Occupations",26.0,6.0,working class,
24.0,female,white,associate/junior college,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,
53.0,male,white,high school,good,very happy,not married,,,,"Natural Resources, Construction, and Maintenance Occupations",19.0,2.0,working class,
81.0,female,white,less than high school,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",18.0,8.0,lower class,
20.0,male,white,high school,fair,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,,
71.0,female,white,high school,good,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",18.0,6.0,working class,
54.0,female,white,bachelor's,good,very happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
48.0,female,white,high school,fair,,divorced,,23.0,,"Production, Transportation, and Material Moving Occupations",,1.0,,
59.0,male,white,high school,fair,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,
55.0,female,white,bachelor's,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",39.0,1.0,working class,
75.0,female,white,high school,good,,divorced,,17.0,,"Production, Transportation, and Material Moving Occupations",,4.0,,
20.0,female,white,less than high school,good,,never married,,,,,,1.0,,
27.0,male,black,high school,excellent,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",19.0,1.0,lower class,
37.0,female,white,high school,good,not too happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,lower class,
39.0,female,white,high school,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",24.0,1.0,middle class,
41.0,male,white,associate/junior college,good,pretty happy,divorced,,,,Service Occupations,19.0,1.0,working class,
43.0,female,white,high school,fair,,divorced,,21.0,,"Production, Transportation, and Material Moving Occupations",,1.0,,
44.0,female,other,high school,excellent,,not married,,17.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,
67.0,male,white,bachelor's,poor,not too happy,not married,,,,"Management, Business, Science, and Arts Occupations",30.0,6.0,middle class,
40.0,male,white,graduate,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,
58.0,male,white,high school,,very happy,married,,,,"Management, Business, Science, and Arts Occupations",22.0,2.0,middle class,
40.0,male,white,high school,fair,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",27.0,3.0,working class,
58.0,female,white,high school,fair,,never married,,,,,,0.0,,
71.0,female,white,bachelor's,good,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",20.0,4.0,middle class,
59.0,female,white,high school,,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,
47.0,male,white,bachelor's,good,,married,,20.0,,"Management, Business, Science, and Arts Occupations",,6.0,,
41.0,male,white,bachelor's,good,very happy,not married,,,40.0,"Natural Resources, Construction, and Maintenance Occupations",17.0,3.0,middle class,
84.0,male,white,less than high school,good,not too happy,widowed,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
28.0,female,white,less than high school,good,not too happy,never married,,,,,19.0,1.0,working class,
50.0,male,white,high school,good,,married,,26.0,,"Management, Business, Science, and Arts Occupations",,3.0,,
28.0,male,black,high school,,not too happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,lower class,
73.0,male,white,less than high school,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",21.0,3.0,working class,
46.0,female,white,high school,good,not too happy,widowed,,,,Sales and Office Occupations,21.0,2.0,lower class,
38.0,female,white,high school,,very happy,divorced,,,,"Natural Resources, Construction, and Maintenance Occupations",20.0,4.0,working class,
42.0,female,white,high school,,not too happy,married,,,,"Production, Transportation, and Material Moving Occupations",20.0,2.0,upper class,
45.0,female,white,associate/junior college,good,,married,,28.0,,"Production, Transportation, and Material Moving Occupations",,0.0,,
47.0,male,white,high school,excellent,,married,,21.0,,"Production, Transportation, and Material Moving Occupations",,1.0,,
28.0,female,white,high school,excellent,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,
49.0,male,white,high school,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",20.0,2.0,working class,
30.0,female,white,high school,good,very happy,never married,,,,,,0.0,lower class,
54.0,male,white,associate/junior college,excellent,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",48.0,1.0,middle class,
76.0,male,white,less than high school,fair,,married,,25.0,,"Management, Business, Science, and Arts Occupations",,1.0,,
26.0,female,white,high school,good,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,
80.0,male,white,less than high school,poor,not too happy,married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,
47.0,male,other,high school,fair,,never married,,,,"Management, Business, Science, and Arts Occupations",,1.0,,
