age,sex,race,degree,health,happy,marital,martype,agewed,hrs2,indus10,agekdbrn,childs,class,income16,dateintv
54.0,male,white,high school,,pretty happy,divorced,,,,"Management, Business, Science, and Arts Occupations",30.0,4.0,lower class,unemployed/zero income,409.0
59.0,male,white,associate/junior college,,very happy,married,,,,Service Occupations,35.0,1.0,middle class,unemployed/zero income,723.0
68.0,male,white,bachelor's,good,,married,,22.0,,"Management, Business, Science, and Arts Occupations",,3.0,,unemployed/zero income,325.0
31.0,male,white,high school,,very happy,married,,,,"Management, Business, Science, and Arts Occupations",24.0,2.0,working class,unemployed/zero income,404.0
41.0,male,white,high school,good,very happy,married,,,,"Management, Business, Science, and Arts Occupations",29.0,2.0,middle class,unemployed/zero income,603.0
71.0,female,white,high school,,very happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,middle class,unemployed/zero income,404.0
60.0,female,white,graduate,fair,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,unemployed/zero income,403.0
83.0,female,white,bachelor's,good,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",32.0,3.0,middle class,unemployed/zero income,503.0
36.0,female,white,high school,poor,not too happy,divorced,,,,,26.0,2.0,middle class,unemployed/zero income,519.0
62.0,female,white,high school,fair,,not married,,18.0,,"Management, Business, Science, and Arts Occupations",,4.0,,unemployed/zero income,722.0
36.0,male,other,less than high school,fair,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",19.0,3.0,working class,unemployed/zero income,713.0
55.0,male,white,high school,fair,,not married,,17.0,,"Management, Business, Science, and Arts Occupations",,7.0,,unemployed/zero income,319.0
32.0,female,other,high school,fair,not too happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",20.0,3.0,working class,unemployed/zero income,401.0
27.0,male,white,high school,good,,never married,,,,"Management, Business, Science, and Arts Occupations",,2.0,,unemployed/zero income,620.0
23.0,male,other,associate/junior college,excellent,,divorced,,19.0,,Service Occupations,,1.0,,unemployed/zero income,513.0
51.0,male,white,high school,,pretty happy,divorced,,,,"Management, Business, Science, and Arts Occupations",26.0,3.0,working class,unemployed/zero income,426.0
22.0,male,white,high school,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",20.0,1.0,working class,unemployed/zero income,521.0
23.0,male,white,high school,good,not too happy,never married,,,,Sales and Office Occupations,,0.0,working class,unemployed/zero income,510.0
67.0,female,white,high school,fair,not too happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",16.0,3.0,working class,unemployed/zero income,720.0
29.0,male,other,bachelor's,good,,married,,26.0,,Service Occupations,,0.0,,unemployed/zero income,512.0
76.0,female,white,high school,fair,,widowed,,20.0,,Sales and Office Occupations,,3.0,,unemployed/zero income,516.0
27.0,female,white,high school,excellent,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,721.0
51.0,female,white,high school,good,,divorced,,19.0,,"Management, Business, Science, and Arts Occupations",,2.0,,unemployed/zero income,621.0
21.0,female,white,high school,excellent,very happy,never married,,,,,,0.0,working class,unemployed/zero income,517.0
89.0,female,white,graduate,excellent,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",33.0,2.0,middle class,unemployed/zero income,330.0
25.0,female,white,bachelor's,,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,625.0
61.0,female,white,high school,good,,divorced,,18.0,,"Natural Resources, Construction, and Maintenance Occupations",,2.0,,unemployed/zero income,730.0
77.0,female,white,associate/junior college,fair,,married,,28.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,unemployed/zero income,505.0
30.0,male,white,graduate,fair,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,324.0
58.0,male,white,graduate,,pretty happy,divorced,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,624.0
49.0,female,white,graduate,excellent,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,505.0
70.0,female,white,high school,good,,divorced,,21.0,,"Production, Transportation, and Material Moving Occupations",,4.0,,unemployed/zero income,318.0
46.0,female,white,graduate,good,pretty happy,divorced,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,622.0
75.0,male,white,less than high school,fair,not too happy,divorced,,,,Service Occupations,19.0,4.0,working class,unemployed/zero income,311.0
25.0,female,white,high school,good,pretty happy,never married,,,,Sales and Office Occupations,19.0,3.0,working class,unemployed/zero income,327.0
27.0,female,white,associate/junior college,good,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,unemployed/zero income,521.0
41.0,female,other,bachelor's,excellent,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",19.0,4.0,working class,unemployed/zero income,726.0
67.0,female,white,graduate,fair,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,520.0
60.0,female,white,graduate,good,,divorced,,18.0,,"Production, Transportation, and Material Moving Occupations",,1.0,,unemployed/zero income,311.0
56.0,female,white,high school,excellent,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",18.0,2.0,middle class,unemployed/zero income,517.0
25.0,female,white,bachelor's,excellent,very happy,never married,,,,,,0.0,working class,unemployed/zero income,519.0
89.0,female,white,less than high school,good,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",42.0,2.0,working class,unemployed/zero income,515.0
67.0,female,white,high school,poor,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",17.0,2.0,working class,unemployed/zero income,317.0
55.0,female,white,high school,excellent,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,429.0
40.0,female,white,graduate,good,,divorced,,21.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,509.0
34.0,female,other,associate/junior college,poor,,married,,22.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,413.0
73.0,male,white,high school,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",25.0,4.0,working class,unemployed/zero income,322.0
34.0,male,white,high school,,pretty happy,married,,,,Sales and Office Occupations,26.0,2.0,middle class,unemployed/zero income,326.0
56.0,female,white,high school,good,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",18.0,2.0,middle class,unemployed/zero income,626.0
33.0,female,other,high school,good,,married,,27.0,,"Production, Transportation, and Material Moving Occupations",,0.0,,unemployed/zero income,419.0
36.0,female,other,high school,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",21.0,3.0,working class,unemployed/zero income,503.0
44.0,male,other,less than high school,excellent,very happy,married,,,,"Management, Business, Science, and Arts Occupations",36.0,2.0,middle class,unemployed/zero income,606.0
69.0,female,white,high school,good,very happy,married,,,,"Management, Business, Science, and Arts Occupations",24.0,2.0,middle class,unemployed/zero income,402.0
23.0,female,other,high school,excellent,very happy,married,,,,Sales and Office Occupations,16.0,2.0,working class,unemployed/zero income,325.0
53.0,male,white,bachelor's,good,,married,,22.0,,"Production, Transportation, and Material Moving Occupations",,0.0,,unemployed/zero income,331.0
44.0,female,white,bachelor's,good,very happy,married,,,,"Management, Business, Science, and Arts Occupations",26.0,2.0,middle class,unemployed/zero income,501.0
43.0,female,white,high school,excellent,,divorced,,23.0,,,,1.0,,unemployed/zero income,412.0
26.0,female,white,bachelor's,excellent,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,723.0
51.0,female,white,high school,,pretty happy,divorced,,,,,,0.0,lower class,unemployed/zero income,315.0
40.0,female,other,less than high school,fair,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",21.0,3.0,middle class,unemployed/zero income,513.0
51.0,female,white,high school,fair,,divorced,,17.0,,"Natural Resources, Construction, and Maintenance Occupations",,4.0,,unemployed/zero income,410.0
21.0,female,white,high school,excellent,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,513.0
48.0,female,white,associate/junior college,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",20.0,2.0,middle class,unemployed/zero income,620.0
21.0,female,white,high school,good,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,427.0
63.0,male,other,less than high school,fair,,married,,45.0,,"Management, Business, Science, and Arts Occupations",,0.0,,unemployed/zero income,514.0
29.0,male,other,high school,good,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,712.0
32.0,male,white,high school,excellent,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",27.0,2.0,working class,unemployed/zero income,320.0
67.0,male,white,less than high school,fair,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",22.0,4.0,working class,unemployed/zero income,329.0
82.0,female,white,bachelor's,excellent,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",26.0,4.0,middle class,unemployed/zero income,504.0
89.0,female,white,high school,good,pretty happy,widowed,,,,"Natural Resources, Construction, and Maintenance Occupations",21.0,3.0,working class,unemployed/zero income,417.0
60.0,female,white,associate/junior college,fair,,married,,16.0,,Sales and Office Occupations,,3.0,,unemployed/zero income,622.0
63.0,male,white,high school,,not too happy,never married,,,,Service Occupations,,0.0,working class,unemployed/zero income,401.0
44.0,female,white,graduate,poor,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",16.0,4.0,middle class,unemployed/zero income,315.0
56.0,female,white,bachelor's,good,,married,,27.0,30.0,"Production, Transportation, and Material Moving Occupations",,1.0,,unemployed/zero income,326.0
47.0,male,white,graduate,excellent,,married,,26.0,,"Production, Transportation, and Material Moving Occupations",,1.0,,unemployed/zero income,322.0
29.0,male,white,bachelor's,good,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,unemployed/zero income,321.0
43.0,male,black,graduate,,very happy,divorced,,,,Sales and Office Occupations,21.0,6.0,middle class,unemployed/zero income,428.0
26.0,male,white,bachelor's,fair,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,315.0
60.0,male,white,bachelor's,,very happy,divorced,,,,Sales and Office Occupations,24.0,3.0,working class,unemployed/zero income,523.0
34.0,female,white,bachelor's,,pretty happy,divorced,,,25.0,"Production, Transportation, and Material Moving Occupations",27.0,1.0,working class,unemployed/zero income,430.0
42.0,female,white,bachelor's,good,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,328.0
55.0,male,white,graduate,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",28.0,2.0,middle class,unemployed/zero income,319.0
35.0,male,other,bachelor's,excellent,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,319.0
84.0,female,white,bachelor's,fair,pretty happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,423.0
47.0,male,white,bachelor's,good,,married,,30.0,,"Management, Business, Science, and Arts Occupations",,4.0,,unemployed/zero income,419.0
42.0,male,white,bachelor's,excellent,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",33.0,3.0,upper class,unemployed/zero income,724.0
47.0,male,white,bachelor's,excellent,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",38.0,2.0,middle class,unemployed/zero income,414.0
37.0,male,white,bachelor's,,very happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",30.0,2.0,upper class,unemployed/zero income,419.0
46.0,male,white,graduate,excellent,,married,,27.0,,"Natural Resources, Construction, and Maintenance Occupations",,3.0,,unemployed/zero income,413.0
50.0,male,white,associate/junior college,good,,married,,31.0,,"Management, Business, Science, and Arts Occupations",,1.0,,unemployed/zero income,420.0
21.0,female,white,high school,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,unemployed/zero income,504.0
56.0,female,white,high school,,pretty happy,married,,,,Service Occupations,18.0,2.0,middle class,unemployed/zero income,706.0
26.0,female,white,high school,good,,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,1.0,,unemployed/zero income,412.0
37.0,male,white,high school,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",20.0,2.0,working class,unemployed/zero income,705.0
64.0,male,white,high school,excellent,very happy,married,,,,"Management, Business, Science, and Arts Occupations",,0.0,middle class,unemployed/zero income,410.0
53.0,male,white,bachelor's,,very happy,married,,,,"Management, Business, Science, and Arts Occupations",26.0,3.0,middle class,unemployed/zero income,412.0
70.0,male,white,high school,good,,married,,20.0,,,,3.0,,unemployed/zero income,621.0
42.0,female,white,high school,,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",27.0,1.0,working class,unemployed/zero income,331.0
43.0,male,white,high school,fair,not too happy,married,,,,Service Occupations,25.0,2.0,middle class,unemployed/zero income,421.0
43.0,male,white,bachelor's,good,,divorced,,26.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,unemployed/zero income,703.0
37.0,male,white,high school,excellent,,divorced,,27.0,,"Management, Business, Science, and Arts Occupations",,0.0,,unemployed/zero income,414.0
31.0,male,white,high school,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",21.0,4.0,working class,unemployed/zero income,417.0
43.0,female,other,associate/junior college,good,pretty happy,never married,,,,Sales and Office Occupations,28.0,2.0,middle class,unemployed/zero income,418.0
70.0,female,white,associate/junior college,,not too happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",18.0,2.0,middle class,unemployed/zero income,422.0
38.0,female,white,bachelor's,fair,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",26.0,4.0,middle class,unemployed/zero income,414.0
26.0,female,white,high school,excellent,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",22.0,2.0,middle class,unemployed/zero income,501.0
65.0,male,white,high school,,pretty happy,divorced,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,working class,unemployed/zero income,421.0
49.0,female,white,high school,excellent,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,lower class,unemployed/zero income,423.0
27.0,male,white,high school,excellent,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,429.0
29.0,male,white,less than high school,excellent,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,401.0
24.0,female,white,less than high school,,pretty happy,divorced,,,,Sales and Office Occupations,19.0,1.0,working class,unemployed/zero income,705.0
54.0,male,white,high school,good,,married,,20.0,,"Natural Resources, Construction, and Maintenance Occupations",,3.0,,unemployed/zero income,701.0
42.0,female,white,bachelor's,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,430.0
30.0,male,white,high school,excellent,,married,,18.0,,"Production, Transportation, and Material Moving Occupations",,4.0,,unemployed/zero income,702.0
47.0,female,white,bachelor's,good,not too happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,422.0
48.0,female,white,bachelor's,excellent,very happy,married,,,,"Management, Business, Science, and Arts Occupations",,0.0,middle class,unemployed/zero income,425.0
71.0,female,white,bachelor's,fair,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",21.0,4.0,middle class,unemployed/zero income,414.0
37.0,male,white,graduate,excellent,,married,,27.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,523.0
24.0,male,white,bachelor's,,very happy,never married,,,,Sales and Office Occupations,,0.0,working class,unemployed/zero income,425.0
46.0,female,white,high school,fair,,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,unemployed/zero income,423.0
46.0,female,white,high school,good,very happy,married,,,,Service Occupations,25.0,2.0,working class,unemployed/zero income,630.0
19.0,male,white,less than high school,excellent,very happy,never married,,,,,,0.0,middle class,unemployed/zero income,329.0
79.0,male,white,bachelor's,,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",24.0,5.0,working class,unemployed/zero income,329.0
34.0,female,white,graduate,,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,518.0
49.0,female,white,high school,,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",26.0,2.0,middle class,unemployed/zero income,422.0
42.0,female,white,graduate,,very happy,divorced,,,,"Natural Resources, Construction, and Maintenance Occupations",23.0,2.0,middle class,unemployed/zero income,802.0
63.0,male,white,high school,good,,not married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,unemployed/zero income,323.0
36.0,male,white,bachelor's,good,,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,,unemployed/zero income,401.0
25.0,female,white,bachelor's,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,311.0
24.0,female,white,high school,good,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,318.0
66.0,female,white,high school,,not too happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",20.0,2.0,lower class,unemployed/zero income,312.0
21.0,male,white,high school,good,pretty happy,never married,,,,Sales and Office Occupations,,0.0,working class,unemployed/zero income,317.0
84.0,female,white,less than high school,fair,,widowed,,15.0,,Sales and Office Occupations,,3.0,,unemployed/zero income,511.0
39.0,female,white,associate/junior college,good,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,upper class,unemployed/zero income,424.0
36.0,male,white,associate/junior college,good,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,424.0
57.0,male,white,graduate,good,,divorced,,25.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,unemployed/zero income,323.0
36.0,male,white,high school,good,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,unemployed/zero income,428.0
21.0,female,other,high school,,not too happy,married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,429.0
89.0,female,white,less than high school,,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",30.0,3.0,working class,unemployed/zero income,322.0
40.0,male,white,bachelor's,good,not too happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,322.0
55.0,female,white,high school,excellent,,widowed,,23.0,,Service Occupations,,3.0,,unemployed/zero income,328.0
34.0,female,other,bachelor's,good,,divorced,,23.0,,"Management, Business, Science, and Arts Occupations",,2.0,,unemployed/zero income,411.0
48.0,male,white,high school,,pretty happy,never married,,,,Sales and Office Occupations,,0.0,working class,unemployed/zero income,703.0
44.0,male,white,high school,poor,pretty happy,divorced,,,,"Management, Business, Science, and Arts Occupations",16.0,2.0,middle class,unemployed/zero income,330.0
32.0,female,white,high school,good,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",18.0,2.0,lower class,unemployed/zero income,411.0
81.0,male,white,less than high school,good,,widowed,,22.0,,"Management, Business, Science, and Arts Occupations",,6.0,,unemployed/zero income,330.0
60.0,female,white,less than high school,fair,,married,,20.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,422.0
49.0,female,white,high school,fair,pretty happy,married,,,,,17.0,3.0,working class,unemployed/zero income,402.0
45.0,male,black,high school,excellent,very happy,divorced,,,,Sales and Office Occupations,18.0,1.0,middle class,unemployed/zero income,331.0
32.0,female,white,high school,good,,never married,,,,,,0.0,,unemployed/zero income,513.0
75.0,male,white,graduate,,very happy,married,,,,"Production, Transportation, and Material Moving Occupations",22.0,6.0,middle class,unemployed/zero income,425.0
27.0,female,other,less than high school,good,,married,,20.0,,"Management, Business, Science, and Arts Occupations",,2.0,,unemployed/zero income,520.0
52.0,male,other,less than high school,excellent,,married,,18.0,,"Management, Business, Science, and Arts Occupations",,6.0,,unemployed/zero income,412.0
27.0,male,white,high school,excellent,,married,,20.0,,"Management, Business, Science, and Arts Occupations",,2.0,,unemployed/zero income,726.0
29.0,male,other,less than high school,fair,not too happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,middle class,unemployed/zero income,412.0
22.0,male,other,less than high school,excellent,pretty happy,never married,,,,"Management, Business, Science, and Arts Occupations",20.0,1.0,working class,unemployed/zero income,311.0
44.0,male,other,less than high school,fair,,married,,20.0,,Service Occupations,,5.0,,unemployed/zero income,513.0
61.0,male,other,less than high school,good,very happy,married,,,,"Management, Business, Science, and Arts Occupations",23.0,8.0,working class,unemployed/zero income,520.0
70.0,female,other,less than high school,poor,,not married,,17.0,,,,8.0,,unemployed/zero income,615.0
50.0,male,other,less than high school,fair,,married,,18.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,unemployed/zero income,520.0
61.0,female,white,high school,good,,married,,23.0,,"Natural Resources, Construction, and Maintenance Occupations",,3.0,,unemployed/zero income,727.0
29.0,female,white,associate/junior college,fair,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",23.0,3.0,working class,unemployed/zero income,326.0
54.0,male,white,high school,good,,never married,,,,Sales and Office Occupations,,0.0,,unemployed/zero income,404.0
54.0,female,other,less than high school,poor,,divorced,,18.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,unemployed/zero income,612.0
76.0,male,white,graduate,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",29.0,2.0,middle class,unemployed/zero income,321.0
32.0,female,other,high school,good,not too happy,married,,,40.0,"Natural Resources, Construction, and Maintenance Occupations",17.0,2.0,middle class,unemployed/zero income,521.0
47.0,female,white,high school,fair,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,520.0
29.0,female,white,high school,good,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",21.0,1.0,working class,unemployed/zero income,319.0
23.0,female,white,high school,poor,not too happy,never married,,,,"Production, Transportation, and Material Moving Occupations",18.0,1.0,lower class,unemployed/zero income,422.0
42.0,female,other,bachelor's,fair,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",35.0,2.0,lower class,unemployed/zero income,420.0
37.0,male,other,bachelor's,good,very happy,married,,,,"Management, Business, Science, and Arts Occupations",24.0,2.0,middle class,unemployed/zero income,423.0
68.0,male,other,bachelor's,good,very happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,520.0
42.0,female,white,high school,fair,,married,,33.0,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,,unemployed/zero income,712.0
28.0,male,white,associate/junior college,excellent,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,unemployed/zero income,422.0
45.0,female,white,high school,good,very happy,divorced,,,,"Natural Resources, Construction, and Maintenance Occupations",20.0,3.0,working class,unemployed/zero income,425.0
44.0,female,white,high school,fair,,divorced,,17.0,,"Production, Transportation, and Material Moving Occupations",,4.0,,unemployed/zero income,522.0
69.0,female,white,high school,poor,very happy,widowed,,,,"Production, Transportation, and Material Moving Occupations",17.0,3.0,working class,unemployed/zero income,616.0
45.0,male,white,graduate,excellent,,married,,30.0,,Service Occupations,,2.0,,unemployed/zero income,713.0
40.0,male,other,bachelor's,fair,,married,,30.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,609.0
21.0,female,white,associate/junior college,good,pretty happy,never married,,,,,,0.0,middle class,unemployed/zero income,801.0
21.0,female,other,high school,good,,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,unemployed/zero income,802.0
62.0,male,white,graduate,excellent,,married,,26.0,,"Production, Transportation, and Material Moving Occupations",,4.0,,unemployed/zero income,422.0
50.0,female,white,high school,excellent,,married,,18.0,,Sales and Office Occupations,,0.0,,unemployed/zero income,411.0
36.0,female,white,high school,,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",20.0,4.0,middle class,unemployed/zero income,626.0
29.0,male,other,high school,excellent,very happy,divorced,,,,"Management, Business, Science, and Arts Occupations",19.0,2.0,middle class,unemployed/zero income,627.0
71.0,male,white,high school,good,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,middle class,unemployed/zero income,407.0
41.0,male,white,bachelor's,,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",22.0,4.0,middle class,unemployed/zero income,515.0
50.0,male,white,high school,fair,pretty happy,married,,,,"Natural Resources, Construction, and Maintenance Occupations",22.0,1.0,middle class,unemployed/zero income,408.0
68.0,female,white,high school,good,,divorced,,21.0,,"Natural Resources, Construction, and Maintenance Occupations",,2.0,,unemployed/zero income,425.0
45.0,male,white,bachelor's,good,,divorced,,33.0,,"Production, Transportation, and Material Moving Occupations",,0.0,,unemployed/zero income,625.0
38.0,male,white,graduate,excellent,,married,,21.0,,"Production, Transportation, and Material Moving Occupations",,2.0,,unemployed/zero income,625.0
55.0,male,white,high school,,not too happy,never married,,,40.0,Sales and Office Occupations,22.0,1.0,middle class,unemployed/zero income,402.0
71.0,female,white,high school,good,pretty happy,widowed,,,,"Management, Business, Science, and Arts Occupations",20.0,4.0,working class,unemployed/zero income,405.0
41.0,male,white,high school,excellent,pretty happy,married,,,,"Management, Business, Science, and Arts Occupations",,0.0,working class,unemployed/zero income,403.0
50.0,male,white,high school,good,,married,,18.0,,"Production, Transportation, and Material Moving Occupations",,3.0,,unemployed/zero income,403.0
48.0,female,white,associate/junior college,,pretty happy,divorced,,,,"Production, Transportation, and Material Moving Occupations",18.0,2.0,middle class,unemployed/zero income,405.0
29.0,male,white,graduate,good,,married,,21.0,40.0,"Production, Transportation, and Material Moving Occupations",,1.0,,unemployed/zero income,406.0
51.0,female,white,associate/junior college,,pretty happy,never married,,,,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,520.0
22.0,male,white,high school,fair,not too happy,never married,,,,"Management, Business, Science, and Arts Occupations",,0.0,lower class,unemployed/zero income,409.0
41.0,male,white,high school,good,,divorced,,28.0,,"Management, Business, Science, and Arts Occupations",,0.0,,unemployed/zero income,407.0
20.0,male,other,high school,good,very happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,722.0
50.0,male,white,less than high school,excellent,not too happy,never married,,,,"Management, Business, Science, and Arts Occupations",29.0,1.0,working class,unemployed/zero income,415.0
40.0,male,other,bachelor's,fair,,not married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,,unemployed/zero income,415.0
28.0,female,white,high school,excellent,pretty happy,married,,,,"Production, Transportation, and Material Moving Occupations",25.0,2.0,lower class,unemployed/zero income,420.0
38.0,male,white,high school,,not too happy,not married,,,40.0,"Natural Resources, Construction, and Maintenance Occupations",,0.0,middle class,unemployed/zero income,720.0
22.0,female,other,high school,good,pretty happy,never married,,,,"Production, Transportation, and Material Moving Occupations",16.0,1.0,working class,unemployed/zero income,515.0
54.0,female,other,graduate,good,pretty happy,not married,,,,"Production, Transportation, and Material Moving Occupations",21.0,2.0,working class,unemployed/zero income,414.0
56.0,male,other,bachelor's,good,very happy,not married,,,,"Production, Transportation, and Material Moving Occupations",29.0,2.0,working class,unemployed/zero income,424.0
41.0,female,white,bachelor's,good,,never married,,,40.0,"Production, Transportation, and Material Moving Occupations",,0.0,,unemployed/zero income,609.0
,female,white,high school,,pretty happy,divorced,,,,"Natural Resources, Construction, and Maintenance Occupations",22.0,4.0,upper class,unemployed/zero income,424.0
21.0,female,other,high school,good,pretty happy,never married,,,,Sales and Office Occupations,,0.0,working class,unemployed/zero income,610.0
42.0,female,other,high school,excellent,pretty happy,married,,,,Sales and Office Occupations,21.0,3.0,middle class,unemployed/zero income,609.0
25.0,male,white,high school,,very happy,never married,,,,"Production, Transportation, and Material Moving Occupations",,0.0,working class,unemployed/zero income,618.0
43.0,female,other,high school,,pretty happy,married,,,40.0,"Production, Transportation, and Material Moving Occupations",21.0,2.0,lower class,unemployed/zero income,401.0
